runtime_id,openrouter_id,context_window
"om/coding-1m","",""
"om/coding-400k","",""
"om/coding-256k","",""
"om/coding-200k","",""
"om/general-1m","",""
"om/general-400k","",""
"om/general-256k","",""
"om/general-200k","",""
"om/general-128k","",""
"om/multimodal-1m","",""
"om/multimodal-400k","",""
"om/multimodal-256k","",""
"om/multimodal-200k","",""
"om/reasoning-1m","",""
"om/reasoning-400k","",""
"om/reasoning-256k","",""
"om/reasoning-200k","",""
"om/reasoning-128k","",""
"om/review-1m","",""
"om/review-256k","",""
"om/review-200k","",""
"om/coding-128k","",""
"om/review-400k","",""
"om/review-128k","",""
"om/internal-200k","",""
"om/kr/claude-opus-5","anthropic/claude-opus-5","1000000"
"om/kr/claude-opus-5-thinking","",""
"om/kr/claude-opus-5-agentic","",""
"om/kr/claude-opus-5-thinking-agentic","",""
"om/kr/claude-opus-4.8","anthropic/claude-opus-4.8","1000000"
"om/kr/claude-opus-4.8-thinking","",""
"om/kr/claude-opus-4.8-agentic","",""
"om/kr/claude-opus-4.8-thinking-agentic","",""
"om/kr/claude-opus-4.7","anthropic/claude-opus-4.7","1000000"
"om/kr/claude-opus-4.7-thinking","",""
"om/kr/claude-opus-4.7-agentic","",""
"om/kr/claude-opus-4.7-thinking-agentic","",""
"om/kr/claude-opus-4.5","anthropic/claude-opus-4.5","200000"
"om/kr/claude-opus-4.5-thinking","",""
"om/kr/claude-opus-4.5-agentic","",""
"om/kr/claude-opus-4.5-thinking-agentic","",""
"om/kr/claude-sonnet-5","anthropic/claude-sonnet-5","1000000"
"om/kr/claude-sonnet-4.5","anthropic/claude-sonnet-4.5","1000000"
"om/kr/claude-haiku-4.5","anthropic/claude-haiku-4.5","200000"
"om/kr/deepseek-3.2","",""
"om/kr/qwen3-coder-next","qwen/qwen3-coder-next","262144"
"om/kr/glm-5","z-ai/glm-5","204800"
"om/kr/MiniMax-M2.5","",""
"om/kr/gpt-5.6-sol","openai/gpt-5.6-sol","1050000"
"om/kr/gpt-5.6-terra","openai/gpt-5.6-terra","1050000"
"om/kr/gpt-5.6-luna","openai/gpt-5.6-luna","1050000"
"om/kr/claude-sonnet-5-thinking","",""
"om/kr/claude-sonnet-4.5-thinking","",""
"om/kr/claude-haiku-4.5-thinking","",""
"om/kr/gpt-5.6-sol-thinking","",""
"om/kr/gpt-5.6-terra-thinking","",""
"om/kr/gpt-5.6-luna-thinking","",""
"om/kr/claude-sonnet-5-agentic","",""
"om/kr/claude-sonnet-4.5-agentic","",""
"om/kr/claude-haiku-4.5-agentic","",""
"om/kr/gpt-5.6-sol-agentic","",""
"om/kr/gpt-5.6-terra-agentic","",""
"om/kr/gpt-5.6-luna-agentic","",""
"om/kr/claude-sonnet-5-thinking-agentic","",""
"om/kr/claude-sonnet-4.5-thinking-agentic","",""
"om/kr/claude-haiku-4.5-thinking-agentic","",""
"om/kr/gpt-5.6-sol-thinking-agentic","",""
"om/kr/gpt-5.6-terra-thinking-agentic","",""
